,building_type_id,building_sqft,general_type,lot_size,residential_units,net_residential_units
1,24,2047.9,Residential,20479,3.0,-6.0
13,20,34856.9,Residential,348569,35.0,-73.0
43,20,817.1,Residential,8171,1.0,-1.0
6317,3,788.6,Residential,7886,1.0,0.0
6323,24,810.5,Residential,8105,1.0,0.0
6700,20,1209.7,Residential,12097,2.0,1.0
6708,3,823.6,Residential,8236,1.0,0.0
6722,20,662.0,Residential,6620,1.0,0.0
6738,24,900.4000000000001,Residential,9004,1.0,0.0
6743,3,732.7,Residential,7327,1.0,0.0
6750,2,778.4000000000001,Residential,7784,1.0,0.0
6757,3,3058.7000000000003,Residential,30587,4.0,4.0
6770,3,929.7,Residential,9297,1.0,-1.0
6779,3,970.0,Residential,9700,1.0,0.0
6782,24,947.4000000000001,Residential,9474,1.0,0.0
6783,20,856.7,Residential,8567,1.0,0.0
6798,2,785.2,Residential,7852,1.0,0.0
6810,3,1048.4,Residential,10484,2.0,1.0
6812,3,783.3000000000001,Residential,7833,1.0,0.0
6858,2,860.8000000000001,Residential,8608,1.0,0.0
6866,3,836.4000000000001,Residential,8364,1.0,0.0
6939,20,832.7,Residential,8327,1.0,0.0
6944,20,1020.2,Residential,10202,2.0,1.0
6954,24,773.1,Residential,7731,1.0,0.0
6960,20,5808.5,Residential,58085,6.0,6.0
6969,20,968.2,Residential,9682,1.0,0.0
6983,2,966.8000000000001,Residential,9668,1.0,0.0
6984,3,726.9000000000001,Residential,7269,1.0,0.0
7038,3,709.3000000000001,Residential,7093,1.0,0.0
7042,20,837.1,Residential,8371,1.0,0.0
7066,3,788.0,Residential,7880,1.0,0.0
7074,20,913.6,Residential,9136,1.0,0.0
7080,3,779.6,Residential,7796,1.0,0.0
7084,20,760.6,Residential,7606,1.0,0.0
7097,3,786.6,Residential,7866,1.0,0.0
7125,20,991.2,Residential,9912,1.0,-1.0
7127,3,902.4000000000001,Residential,9024,1.0,0.0
7131,3,848.0,Residential,8480,1.0,0.0
7150,24,24304.300000000003,Residential,243043,25.0,25.0
7151,3,1516.7,Residential,15167,2.0,2.0
7259,3,702.2,Residential,7022,1.0,0.0
7260,24,945.4000000000001,Residential,9454,1.0,0.0
7263,2,773.6,Residential,7736,1.0,0.0
7268,2,617.2,Residential,6172,1.0,0.0
7269,24,692.8000000000001,Residential,6928,1.0,1.0
7272,24,787.3000000000001,Residential,7873,1.0,0.0
7278,24,1211.5,Residential,12115,2.0,0.0
7284,24,936.2,Residential,9362,1.0,0.0
7286,2,1632.8000000000002,Residential,16328,2.0,0.0
7291,3,942.3000000000001,Residential,9423,1.0,0.0
7292,3,764.9000000000001,Residential,7649,1.0,0.0
7293,24,1186.3,Residential,11863,2.0,1.0
7297,24,1510.4,Residential,15104,2.0,1.0
7298,24,829.0,Residential,8290,1.0,0.0
7301,3,805.3000000000001,Residential,8053,1.0,0.0
7305,2,894.0,Residential,8940,1.0,0.0
7307,24,785.6,Residential,7856,1.0,0.0
7308,2,1513.0,Residential,15130,2.0,-2.0
7314,24,885.6,Residential,8856,1.0,0.0
7316,2,831.4000000000001,Residential,8314,1.0,0.0
7319,2,661.9000000000001,Residential,6619,1.0,0.0
7323,2,965.5,Residential,9655,1.0,0.0
7324,24,1205.9,Residential,12059,2.0,0.0
7326,2,785.3000000000001,Residential,7853,1.0,0.0
7327,2,1562.9,Residential,15629,2.0,1.0
7347,2,576.7,Residential,5767,1.0,0.0
7352,24,617.2,Residential,6172,1.0,0.0
7353,3,561.2,Residential,5612,1.0,0.0
7359,3,578.7,Residential,5787,1.0,0.0
7370,24,744.0,Residential,7440,1.0,0.0
7376,3,586.9,Residential,5869,1.0,0.0
7377,3,730.2,Residential,7302,1.0,0.0
7379,24,723.3000000000001,Residential,7233,1.0,0.0
7380,2,669.4000000000001,Residential,6694,1.0,0.0
7394,3,805.8000000000001,Residential,8058,1.0,0.0
7397,24,794.2,Residential,7942,1.0,0.0
7400,2,661.8000000000001,Residential,6618,1.0,0.0
7412,24,743.2,Residential,7432,1.0,0.0
7417,24,589.5,Residential,5895,1.0,0.0
7419,24,882.8000000000001,Residential,8828,1.0,0.0
7427,2,800.5,Residential,8005,1.0,0.0
7428,20,819.5,Residential,8195,1.0,0.0
7430,24,692.4000000000001,Residential,6924,1.0,0.0
7432,2,754.4000000000001,Residential,7544,1.0,0.0
7434,2,795.7,Residential,7957,1.0,0.0
7436,24,840.5,Residential,8405,1.0,0.0
7443,2,865.9000000000001,Residential,8659,1.0,0.0
7444,2,800.5,Residential,8005,1.0,0.0
7453,2,789.2,Residential,7892,1.0,0.0
7464,2,690.0,Residential,6900,1.0,0.0
7466,2,594.2,Residential,5942,1.0,0.0
7467,2,605.5,Residential,6055,1.0,0.0
7479,24,636.1,Residential,6361,1.0,0.0
7481,24,595.8000000000001,Residential,5958,1.0,0.0
7491,24,673.6,Residential,6736,1.0,0.0
7500,3,744.7,Residential,7447,1.0,1.0
7603,3,250.0,Residential,1298,1.0,0.0
7608,3,605.8000000000001,Residential,6058,1.0,1.0
7611,2,830.9000000000001,Residential,8309,1.0,-1.0
7693,2,977.6,Residential,9776,1.0,0.0
7703,20,1113.7,Residential,11137,2.0,1.0
7724,2,775.0,Residential,7750,1.0,0.0
7728,3,819.4000000000001,Residential,8194,1.0,0.0
7729,3,801.4000000000001,Residential,8014,1.0,0.0
7731,2,809.4000000000001,Residential,8094,1.0,0.0
7734,3,790.3000000000001,Residential,7903,1.0,0.0
7748,24,807.7,Residential,8077,1.0,0.0
7749,20,1230.9,Residential,12309,2.0,1.0
7760,2,862.6,Residential,8626,1.0,0.0
7781,2,803.0,Residential,8030,1.0,0.0
7798,20,749.5,Residential,7495,1.0,0.0
7807,2,836.5,Residential,8365,1.0,0.0
7820,2,3377.4,Residential,33774,4.0,4.0
7838,20,767.4000000000001,Residential,7674,1.0,0.0
7856,20,814.9000000000001,Residential,8149,1.0,0.0
7904,20,731.7,Residential,7317,1.0,0.0
7911,2,750.9000000000001,Residential,7509,1.0,0.0
7912,3,769.8000000000001,Residential,7698,1.0,0.0
7926,24,788.1,Residential,7881,1.0,0.0
7931,20,900.8000000000001,Residential,9008,1.0,0.0
7950,20,748.3000000000001,Residential,7483,1.0,0.0
7972,20,803.3000000000001,Residential,8033,1.0,0.0
7980,20,821.3000000000001,Residential,8213,1.0,0.0
7987,3,1621.9,Residential,16219,2.0,0.0
8007,20,725.1,Residential,7251,1.0,0.0
8030,2,824.1,Residential,8241,1.0,0.0
8040,20,811.3000000000001,Residential,8113,1.0,0.0
8063,2,1504.0,Residential,15040,2.0,1.0
8077,2,1157.2,Residential,11572,2.0,1.0
8087,2,737.5,Residential,7375,1.0,0.0
8090,20,899.5,Residential,8995,1.0,0.0
8093,3,914.3000000000001,Residential,9143,1.0,0.0
8095,24,727.9000000000001,Residential,7279,1.0,0.0
8103,3,743.2,Residential,7432,1.0,0.0
8104,2,718.0,Residential,7180,1.0,-1.0
8108,24,700.4000000000001,Residential,7004,1.0,0.0
8121,3,1172.6000000000001,Residential,11726,2.0,1.0
8126,2,783.3000000000001,Residential,7833,1.0,0.0
8156,3,668.7,Residential,6687,1.0,0.0
8218,2,688.8000000000001,Residential,6888,1.0,0.0
8224,3,1500.0,Residential,15000,2.0,1.0
8230,3,762.5,Residential,7625,1.0,0.0
8241,3,959.1,Residential,9591,1.0,0.0
8245,3,6869.900000000001,Residential,68699,7.0,7.0
8266,24,820.0,Residential,8200,1.0,0.0
8279,24,832.2,Residential,8322,1.0,0.0
8341,24,1219.3,Residential,12193,2.0,1.0
8351,3,1124.7,Residential,11247,2.0,1.0
8356,2,956.9000000000001,Residential,9569,1.0,0.0
8373,3,16742.0,Residential,167420,17.0,17.0
8416,2,769.3000000000001,Residential,7693,1.0,0.0
8423,20,777.8000000000001,Residential,7778,1.0,0.0
8489,24,761.0,Residential,7610,1.0,0.0
8492,3,825.4000000000001,Residential,8254,1.0,0.0
8503,24,790.7,Residential,7907,1.0,0.0
8513,24,851.5,Residential,8515,1.0,0.0
8515,3,857.5,Residential,8575,1.0,0.0
8516,24,1727.7,Residential,17277,2.0,1.0
8519,24,1249.2,Residential,12492,2.0,1.0
8563,2,815.3000000000001,Residential,8153,1.0,0.0
8615,20,984.0,Residential,9840,1.0,0.0
8742,2,977.4000000000001,Residential,9774,1.0,0.0
8745,24,922.7,Residential,9227,1.0,0.0
8824,20,897.9000000000001,Residential,8979,1.0,0.0
8838,3,1034.8,Residential,10348,2.0,1.0
8839,20,1104.3,Residential,11043,2.0,1.0
8866,20,723.8000000000001,Residential,7238,1.0,0.0
8897,3,840.5,Residential,8405,1.0,0.0
8906,20,852.1,Residential,8521,1.0,0.0
8918,3,1070.6000000000001,Residential,10706,2.0,1.0
8953,20,801.8000000000001,Residential,8018,1.0,0.0
8961,24,953.8000000000001,Residential,9538,1.0,0.0
8966,3,851.5,Residential,8515,1.0,0.0
8973,24,806.4000000000001,Residential,8064,1.0,0.0
8980,24,710.8000000000001,Residential,7108,1.0,0.0
8987,24,1025.5,Residential,10255,2.0,1.0
8989,2,941.8000000000001,Residential,9418,1.0,-1.0
9004,20,1055.1000000000001,Residential,10551,2.0,1.0
9006,24,1201.2,Residential,12012,2.0,1.0
9010,3,1143.6000000000001,Residential,11436,2.0,1.0
9356,3,864.0,Residential,8640,1.0,0.0
9368,20,1551.5,Residential,15515,2.0,1.0
9383,20,2485.3,Residential,24853,3.0,3.0
10415,2,71859.48000000001,Residential,217756,72.0,-37.0
10422,24,732.1,Residential,7321,1.0,0.0
10444,20,3670.5,Residential,36705,4.0,4.0
10487,20,2487.75,Residential,9951,3.0,1.0
10520,20,890.0,Residential,8900,1.0,0.0
10528,20,784.7,Residential,7847,1.0,0.0
10591,20,1043.0,Residential,10430,2.0,1.0
10633,24,1790.0,Residential,17900,2.0,1.0
10639,20,1758.5,Residential,17585,2.0,1.0
10654,20,884.6,Residential,8846,1.0,0.0
10669,20,796.3000000000001,Residential,7963,1.0,0.0
10675,2,926.8000000000001,Residential,9268,1.0,0.0
10676,20,1083.2,Residential,10832,2.0,1.0
10699,20,757.2,Residential,7572,1.0,0.0
10726,24,603.9,Residential,6039,1.0,1.0
10741,20,822.5,Residential,8225,1.0,0.0
10753,24,33414.200000000004,Residential,334142,34.0,34.0
10810,3,62510.020000000004,Residential,183853,63.0,-105.0
18471,20,1240.1000000000001,Residential,12401,2.0,1.0
18473,3,1021.3000000000001,Residential,10213,2.0,1.0
18474,3,953.7,Residential,9537,1.0,0.0
18477,20,717.7,Residential,7177,1.0,0.0
18513,20,861.6,Residential,8616,1.0,0.0
18533,20,813.4000000000001,Residential,8134,1.0,0.0
18553,3,917.5,Residential,9175,1.0,0.0
18611,20,842.8000000000001,Residential,8428,1.0,0.0
18615,3,790.1,Residential,7901,1.0,0.0
18628,3,753.6,Residential,7536,1.0,0.0
18702,3,687.8000000000001,Residential,6878,1.0,0.0
18707,2,24130.2,Residential,241302,25.0,25.0
18709,3,36587.200000000004,Residential,365872,37.0,37.0
18935,2,8221.2,Residential,82212,9.0,9.0
18984,20,5869.1,Residential,58691,6.0,6.0
18985,20,7751.200000000001,Residential,77512,8.0,8.0
18987,2,4496.400000000001,Residential,44964,5.0,5.0
19091,24,549.4,Residential,5494,1.0,0.0
19101,2,451.5,Residential,4515,1.0,0.0
19108,24,5919.400000000001,Residential,59194,6.0,6.0
19177,2,518.5,Residential,5185,1.0,0.0
19340,24,4020.8,Residential,40208,5.0,5.0
19341,24,2619.3,Residential,26193,3.0,3.0
19520,2,468.20000000000005,Residential,4682,1.0,0.0
22866,20,23983.600000000002,Residential,239836,24.0,19.0
22869,3,34841.12,Residential,435514,35.0,32.0
31470,20,8186.18,Residential,409309,9.0,8.0
42734,3,13398.1,Residential,133981,14.0,14.0
42743,3,5832.200000000001,Residential,58322,6.0,6.0
43204,2,456.70000000000005,Residential,4567,1.0,0.0
43226,24,513.6,Residential,5136,1.0,0.0
43271,20,492.5,Residential,4925,1.0,0.0
43339,3,40069.5,Residential,400695,41.0,41.0
43340,20,9318.2,Residential,93182,10.0,9.0
43342,24,33076.0,Residential,330760,34.0,31.0
43386,24,645.9000000000001,Residential,6459,1.0,0.0
43449,3,805.4000000000001,Residential,8054,1.0,0.0
43609,24,793.5,Residential,7935,1.0,0.0
43629,24,869.8000000000001,Residential,8698,1.0,0.0
43678,20,322.70000000000005,Residential,3227,1.0,0.0
43772,2,1054.3,Residential,10543,2.0,1.0
43782,3,935.8000000000001,Residential,9358,1.0,0.0
43789,24,800.0,Residential,8000,1.0,0.0
43810,24,748.1,Residential,7481,1.0,0.0
43939,2,11108.1,Residential,111081,12.0,12.0
43960,2,807.1,Residential,8071,1.0,0.0
43970,24,638.8000000000001,Residential,6388,1.0,0.0
44035,2,5978.5,Residential,59785,6.0,6.0
44092,24,674.6,Residential,6746,1.0,0.0
44272,3,15939.2,Residential,159392,16.0,-37.0
44283,24,970.2,Residential,9702,1.0,0.0
44307,2,571.9,Residential,5719,1.0,0.0
44377,24,5404.8,Residential,54048,6.0,6.0
52894,2,81703.36,Residential,355232,82.0,82.0
52895,20,5846.37,Residential,25419,6.0,6.0
52999,20,7433.14,Residential,33787,8.0,8.0
53026,3,4689.24,Residential,20388,5.0,5.0
53112,3,958.64,Residential,4168,1.0,1.0
53354,24,691.61,Residential,3007,1.0,1.0
53705,3,3279.57,Residential,14259,4.0,4.0
53907,24,82234.47,Residential,432813,83.0,83.0
53914,20,1402.77,Residential,6099,2.0,2.0
53939,20,1056.6200000000001,Residential,4594,2.0,2.0
53999,2,1320.89,Residential,5743,2.0,2.0
54111,20,1142.8700000000001,Residential,4969,2.0,2.0
54389,22,13835.960000000001,Industrial,40694,0.0,0.0
54390,9,12419.94,Industrial,47769,0.0,0.0
57179,3,5593.83,Residential,24321,6.0,5.0
58036,24,2711.4700000000003,Residential,11789,3.0,3.0
58065,2,4515.360000000001,Residential,19632,5.0,5.0
58107,24,4662.79,Residential,20273,5.0,5.0
58146,3,5669.5,Residential,24650,6.0,6.0
58184,20,3478.52,Residential,15124,4.0,4.0
58332,2,2466.75,Residential,10725,3.0,3.0
58359,2,4874.39,Residential,21193,5.0,5.0
58403,20,2570.71,Residential,11177,3.0,3.0
61448,24,328.70000000000005,Residential,3287,1.0,0.0
61551,24,5632.1,Residential,56321,6.0,4.0
61579,20,609.2,Residential,6092,1.0,0.0
61584,20,589.3000000000001,Residential,5893,1.0,0.0
61672,2,715.1,Residential,7151,1.0,0.0
61731,24,1024.1000000000001,Residential,10241,2.0,1.0
61753,24,732.1,Residential,7321,1.0,0.0
61813,24,1231.2,Residential,12312,2.0,1.0
61857,24,42843.4,Residential,428434,43.0,39.0
61867,2,832.4000000000001,Residential,8324,1.0,0.0
61897,24,743.5,Residential,7435,1.0,0.0
61910,20,1252.6000000000001,Residential,12526,2.0,1.0
65910,2,1851.5,Residential,8050,2.0,1.0
66067,3,3352.25,Residential,14575,4.0,3.0
66108,2,53995.490000000005,Residential,234763,54.0,54.0
66109,20,9754.76,Residential,42412,10.0,10.0
66177,24,40702.18,Residential,176966,41.0,41.0
69186,2,19558.0,Residential,195580,20.0,-81.0
69221,20,421.1,Residential,4211,1.0,1.0
70397,20,7477.700000000001,Residential,74777,8.0,8.0
70425,20,1941.1000000000001,Residential,19411,2.0,2.0
70445,24,479.8,Residential,4798,1.0,0.0
70515,3,938.6,Residential,9386,1.0,0.0
70520,20,2167.8,Residential,21678,3.0,-9.0
70525,24,11024.0,Residential,110240,12.0,-12.0
70526,24,4518.5,Residential,45185,5.0,-22.0
70530,24,877.9000000000001,Residential,8779,1.0,0.0
70531,24,1027.4,Residential,10274,2.0,2.0
70532,24,550.7,Residential,5507,1.0,0.0
70552,2,545.2,Residential,5452,1.0,0.0
70553,20,681.7,Residential,6817,1.0,1.0
70555,24,250.0,Residential,10521,1.0,-1.0
70560,20,445.6,Residential,4456,1.0,1.0
70569,2,29712.7,Residential,297127,30.0,30.0
70570,20,4331.0,Residential,43310,5.0,2.0
70571,3,8255.7,Residential,82557,9.0,8.0
70573,2,7728.5,Residential,77285,8.0,8.0
70590,20,971.8000000000001,Residential,9718,1.0,1.0
70616,20,461.40000000000003,Residential,4614,1.0,0.0
70640,20,527.3000000000001,Residential,5273,1.0,0.0
70641,24,631.8000000000001,Residential,6318,1.0,0.0
70676,24,571.2,Residential,5712,1.0,0.0
70695,24,511.0,Residential,5110,1.0,0.0
70866,20,5885.3,Residential,58853,6.0,6.0
70907,24,9513.0,Residential,95130,10.0,10.0
70923,24,515.6,Residential,5156,1.0,0.0
70960,24,505.20000000000005,Residential,5052,1.0,1.0
70968,20,554.3000000000001,Residential,5543,1.0,0.0
70998,24,439.40000000000003,Residential,4394,1.0,1.0
71089,24,436.70000000000005,Residential,4367,1.0,0.0
71110,20,626.0,Residential,6260,1.0,1.0
71116,20,454.1,Residential,4541,1.0,1.0
71161,20,3449.1800000000003,Residential,344918,4.0,4.0
71458,20,1473.9,Residential,4335,2.0,1.0
71508,20,1034.96,Residential,3044,2.0,1.0
71509,20,1099.22,Residential,3233,2.0,1.0
75572,2,39676.0,Residential,396760,40.0,40.0
75577,24,326.88,Residential,4086,1.0,1.0
78062,20,36062.44,Residential,106066,37.0,37.0
78063,3,128472.40000000001,Residential,377860,129.0,129.0
78088,2,145163.58,Residential,392334,146.0,-34.0
78091,24,24745.54,Residential,72781,25.0,25.0
78533,2,918.1,Residential,9181,1.0,0.0
78562,2,787.4000000000001,Residential,7874,1.0,0.0
78563,2,918.6,Residential,9186,1.0,0.0
79037,3,11031.7,Residential,110317,12.0,12.0
79038,2,14606.400000000001,Residential,146064,15.0,15.0
79039,3,11363.0,Residential,113630,12.0,12.0
80377,20,1285.74,Residential,7143,2.0,1.0
80378,24,1394.46,Residential,7747,2.0,1.0
80382,3,1347.12,Residential,7484,2.0,1.0
80386,20,1799.6399999999999,Residential,9998,2.0,1.0
80393,24,2740.3199999999997,Residential,15224,3.0,2.0
80410,3,2402.46,Residential,13347,3.0,2.0
80414,20,2185.38,Residential,12141,3.0,2.0
80415,2,2318.58,Residential,12881,3.0,2.0
80420,24,2984.58,Residential,16581,3.0,2.0
80424,20,1240.9199999999998,Residential,6894,2.0,2.0
80425,24,3718.2599999999998,Residential,20657,4.0,4.0
80431,2,7537.86,Residential,41877,8.0,8.0
80433,3,1853.28,Residential,10296,2.0,2.0
80435,24,1857.4199999999998,Residential,10319,2.0,1.0
80437,2,1393.56,Residential,7742,2.0,1.0
80438,20,1604.8799999999999,Residential,8916,2.0,1.0
80449,2,1374.48,Residential,7636,2.0,1.0
80462,3,1551.06,Residential,8617,2.0,1.0
80465,20,1482.3,Residential,8235,2.0,1.0
80479,24,1164.06,Residential,6467,2.0,1.0
80488,2,2821.14,Residential,15673,3.0,2.0
80493,3,1155.06,Residential,6417,2.0,1.0
80495,24,2901.06,Residential,16117,3.0,2.0
80499,24,1161.8999999999999,Residential,6455,2.0,1.0
80509,3,1907.6399999999999,Residential,10598,2.0,1.0
80510,3,1303.74,Residential,7243,2.0,1.0
80515,20,6536.16,Residential,36312,7.0,7.0
80516,3,22145.22,Residential,130266,23.0,23.0
80518,2,6093.75,Residential,40625,7.0,7.0
80520,3,1597.86,Residential,8877,2.0,1.0
80522,2,1183.86,Residential,6577,2.0,1.0
80525,20,1267.74,Residential,7043,2.0,1.0
80534,24,1201.1399999999999,Residential,6673,2.0,1.0
80546,2,250.0,Residential,257,1.0,1.0
80557,24,904.09,Residential,90409,1.0,1.0
80559,2,9212.42,Residential,40054,10.0,10.0
80560,24,39092.41,Residential,169967,40.0,40.0
80587,3,28491.4,Residential,203510,29.0,29.0
80636,24,1512.94,Residential,6578,2.0,2.0
80792,24,10773.66,Residential,46842,11.0,11.0
80817,20,17908.260000000002,Residential,77862,18.0,18.0
80818,2,13769.87,Residential,59869,14.0,14.0
81744,20,8774.27,Residential,38149,9.0,9.0
81846,24,1362.06,Residential,7567,2.0,1.0
81908,20,1275.84,Residential,7088,2.0,1.0
82080,20,1576.26,Residential,8757,2.0,1.0
82086,20,49254.48,Residential,223884,50.0,-70.0
82087,24,49051.200000000004,Residential,245256,50.0,-71.0
82114,2,87233.28,Residential,363472,88.0,-104.0
83373,24,1376.5,Residential,13765,2.0,1.0
83374,2,1030.6000000000001,Residential,10306,2.0,1.0
83378,3,1252.3000000000002,Residential,12523,2.0,-2.0
83397,24,886.8000000000001,Residential,8868,1.0,0.0
83403,24,845.4000000000001,Residential,8454,1.0,0.0
83674,2,729.3000000000001,Residential,7293,1.0,0.0
83700,3,857.5,Residential,8575,1.0,0.0
83706,24,1020.5,Residential,10205,2.0,1.0
83721,3,1136.2,Residential,11362,2.0,1.0
83722,20,2157.0,Residential,21570,3.0,2.0
83731,3,957.1,Residential,9571,1.0,0.0
83760,20,598.9,Residential,5989,1.0,0.0
83775,24,1002.3000000000001,Residential,10023,2.0,1.0
83780,24,913.9000000000001,Residential,9139,1.0,0.0
83786,24,844.5,Residential,8445,1.0,0.0
83805,20,3574.2000000000003,Residential,35742,4.0,3.0
83808,24,2341.2000000000003,Residential,23412,3.0,2.0
83865,2,11988.300000000001,Residential,119883,12.0,12.0
83868,20,2929.6000000000004,Residential,29296,3.0,3.0
83869,24,1868.4,Residential,18684,2.0,0.0
83873,24,1532.8000000000002,Residential,15328,2.0,1.0
83885,24,1296.5,Residential,12965,2.0,1.0
83898,24,770.1,Residential,7701,1.0,0.0
83902,20,744.5,Residential,7445,1.0,0.0
83910,24,797.0,Residential,7970,1.0,0.0
83927,3,867.0,Residential,8670,1.0,0.0
83934,3,1255.0,Residential,12550,2.0,0.0
83947,20,1457.6000000000001,Residential,14576,2.0,1.0
83960,3,953.0,Residential,9530,1.0,0.0
83989,3,3318.7000000000003,Residential,33187,4.0,-18.0
84017,20,1115.6000000000001,Residential,11156,2.0,1.0
84023,20,2189.1,Residential,21891,3.0,1.0
84028,3,9071.7,Residential,90717,10.0,10.0
84029,24,1124.6000000000001,Residential,11246,2.0,1.0
84055,24,3680.0,Residential,36800,4.0,4.0
85277,3,27466.4,Residential,274664,28.0,28.0
85282,24,250.0,Residential,227652,1.0,1.0
85283,20,250.0,Residential,261504,1.0,1.0
85294,24,610.8000000000001,Residential,6108,1.0,0.0
85300,20,626.1,Residential,6261,1.0,0.0
85307,24,737.9000000000001,Residential,7379,1.0,0.0
85308,24,840.7,Residential,8407,1.0,0.0
85315,3,777.8000000000001,Residential,7778,1.0,0.0
85320,20,679.0,Residential,6790,1.0,0.0
85326,24,710.4000000000001,Residential,7104,1.0,0.0
85329,2,721.8000000000001,Residential,7218,1.0,0.0
85341,2,831.5,Residential,8315,1.0,0.0
85348,24,795.7,Residential,7957,1.0,0.0
85365,2,701.7,Residential,7017,1.0,0.0
85392,2,696.4000000000001,Residential,6964,1.0,0.0
85395,2,804.9000000000001,Residential,8049,1.0,0.0
85398,24,718.0,Residential,7180,1.0,0.0
85406,2,758.8000000000001,Residential,7588,1.0,0.0
85410,3,687.1,Residential,6871,1.0,0.0
85420,3,810.3000000000001,Residential,8103,1.0,0.0
85424,24,681.6,Residential,6816,1.0,0.0
85425,2,611.8000000000001,Residential,6118,1.0,0.0
85426,3,663.8000000000001,Residential,6638,1.0,0.0
85434,24,657.3000000000001,Residential,6573,1.0,0.0
85440,3,651.4000000000001,Residential,6514,1.0,0.0
85458,24,675.7,Residential,6757,1.0,0.0
85470,20,734.4000000000001,Residential,7344,1.0,0.0
85485,24,974.2,Residential,9742,1.0,0.0
85493,3,711.1,Residential,7111,1.0,0.0
85498,2,707.9000000000001,Residential,7079,1.0,0.0
85508,24,652.2,Residential,6522,1.0,0.0
85513,3,640.0,Residential,6400,1.0,0.0
85516,2,752.1,Residential,7521,1.0,0.0
85520,2,660.6,Residential,6606,1.0,0.0
85523,24,1101.3,Residential,11013,2.0,1.0
85524,20,906.5,Residential,9065,1.0,0.0
85541,3,646.7,Residential,6467,1.0,0.0
85544,2,651.0,Residential,6510,1.0,0.0
85547,3,656.2,Residential,6562,1.0,0.0
85550,2,735.3000000000001,Residential,7353,1.0,0.0
85560,2,665.1,Residential,6651,1.0,0.0
85570,2,657.3000000000001,Residential,6573,1.0,0.0
85576,3,675.3000000000001,Residential,6753,1.0,0.0
85590,3,573.0,Residential,5730,1.0,0.0
85610,3,916.4000000000001,Residential,9164,1.0,0.0
85619,2,707.7,Residential,7077,1.0,0.0
85629,3,640.1,Residential,6401,1.0,0.0
85636,3,679.4000000000001,Residential,6794,1.0,0.0
85650,20,635.2,Residential,6352,1.0,0.0
85671,2,676.6,Residential,6766,1.0,0.0
85678,2,600.7,Residential,6007,1.0,0.0
85680,2,562.1,Residential,5621,1.0,0.0
85683,3,723.5,Residential,7235,1.0,0.0
85685,3,1204.8,Residential,12048,2.0,1.0
85690,3,731.3000000000001,Residential,7313,1.0,0.0
85722,20,840.1,Residential,8401,1.0,0.0
85729,3,683.0,Residential,6830,1.0,0.0
85730,2,667.9000000000001,Residential,6679,1.0,0.0
85732,2,647.6,Residential,6476,1.0,0.0
85733,2,689.5,Residential,6895,1.0,0.0
85736,24,710.3000000000001,Residential,7103,1.0,0.0
85743,24,703.7,Residential,7037,1.0,0.0
85749,20,754.9000000000001,Residential,7549,1.0,-3.0
85756,20,5977.1,Residential,59771,6.0,-46.0
85760,2,655.3000000000001,Residential,6553,1.0,0.0
85764,3,598.4,Residential,5984,1.0,0.0
85767,3,740.1,Residential,7401,1.0,0.0
85770,2,671.6,Residential,6716,1.0,0.0
85775,3,754.3000000000001,Residential,7543,1.0,0.0
85783,24,630.0,Residential,6300,1.0,-3.0
85798,24,826.1,Residential,8261,1.0,-5.0
90028,24,1035.7,Residential,10357,2.0,-2.0
97334,24,8708.800000000001,Residential,87088,9.0,9.0
97335,2,32030.0,Residential,320300,33.0,33.0
97341,24,650.7,Residential,6507,1.0,0.0
97426,3,35806.8,Residential,358068,36.0,36.0
97449,24,650.7,Residential,6507,1.0,0.0
97470,24,598.2,Residential,5982,1.0,1.0
97482,24,519.8000000000001,Residential,5198,1.0,0.0
97569,24,886.6,Residential,8866,1.0,0.0
97590,24,629.7,Residential,6297,1.0,0.0
99188,2,12304.0,Residential,123040,13.0,13.0
99205,20,35250.1,Residential,352501,36.0,36.0
99229,2,9327.300000000001,Residential,93273,10.0,10.0
101284,24,21013.100000000002,Residential,210131,22.0,22.0
101321,20,4886.6,Residential,48866,5.0,4.0
101322,2,2887.2000000000003,Residential,28872,3.0,2.0
101337,24,9121.7,Residential,91217,10.0,9.0
101347,20,4255.2,Residential,42552,5.0,3.0
101419,3,30037.0,Residential,300370,31.0,30.0
101441,3,1077.9,Residential,10779,2.0,1.0
101443,2,816.7,Residential,8167,1.0,1.0
101466,20,2094.0,Residential,20940,3.0,2.0
101472,20,1616.4,Residential,16164,2.0,2.0
101513,20,806.7,Residential,8067,1.0,0.0
101520,20,795.7,Residential,7957,1.0,0.0
101573,20,736.0,Residential,7360,1.0,1.0
101578,24,965.6,Residential,9656,1.0,1.0
101580,20,1139.0,Residential,11390,2.0,2.0
101931,20,4578.2,Residential,45782,5.0,5.0
102626,24,999.0,Residential,9990,1.0,0.0
102628,24,779.7,Residential,7797,1.0,0.0
102630,20,779.5,Residential,7795,1.0,0.0
102633,20,791.1,Residential,7911,1.0,0.0
102636,2,877.5,Residential,8775,1.0,0.0
102756,3,603.1,Residential,6031,1.0,0.0
102858,24,1219.7,Residential,12197,2.0,1.0
102954,2,29647.0,Residential,296470,30.0,-39.0
103325,20,250.0,Residential,2277,1.0,-1.0
103420,24,874.4000000000001,Residential,8744,1.0,-1.0
103422,24,751.2,Residential,7512,1.0,0.0
103425,2,787.7,Residential,7877,1.0,0.0
103436,24,725.0,Residential,7250,1.0,-1.0
