,building_type_id,building_sqft,general_type,lot_size,residential_units,net_residential_units
364588,2,1499.4,Residential,14994,2.0,-10.0
364604,20,497.1,Residential,4971,1.0,0.0
364643,2,1520.4,Residential,15204,2.0,1.0
364647,3,335.70000000000005,Residential,3357,1.0,1.0
364651,2,1367.1000000000001,Residential,13671,2.0,1.0
364654,2,690.4000000000001,Residential,6904,1.0,0.0
364656,2,1398.3000000000002,Residential,13983,2.0,1.0
364658,20,686.4000000000001,Residential,6864,1.0,1.0
364660,24,408.90000000000003,Residential,4089,1.0,0.0
364684,24,745.2,Residential,7452,1.0,0.0
364686,24,696.0,Residential,6960,1.0,0.0
364765,2,3330.9,Residential,33309,4.0,-20.0
364768,24,2019.1000000000001,Residential,20191,3.0,-9.0
364775,3,15069.5,Residential,150695,16.0,16.0
364776,2,1465.6000000000001,Residential,14656,2.0,2.0
367741,3,13489.400000000001,Residential,134894,14.0,10.0
367959,5,8147.72,Office,16628,0.0,0.0
367986,5,6311.66,Office,27442,0.0,0.0
368006,5,11272.300000000001,Office,49010,0.0,0.0
381611,24,2944.0,Residential,29440,3.0,3.0
381618,3,733.2,Residential,7332,1.0,1.0
381629,24,2919.6000000000004,Residential,29196,3.0,2.0
381701,2,7773.0,Residential,77730,8.0,8.0
381750,24,1449.2,Residential,14492,2.0,1.0
381934,24,1191.8,Residential,11918,2.0,1.0
381966,2,10877.300000000001,Residential,108773,11.0,10.0
382027,24,744.7,Residential,7447,1.0,0.0
382113,24,634.0,Residential,6340,1.0,0.0
382222,24,250.0,Residential,4674,1.0,0.0
383634,3,8493.5,Residential,84935,9.0,9.0
383636,20,6108.5,Residential,61085,7.0,6.0
383645,24,1265.0,Residential,12650,2.0,1.0
383666,24,2152.5,Residential,21525,3.0,2.0
384346,24,1136.3,Residential,11363,2.0,-5.0
384588,20,2243.0,Residential,22430,3.0,-38.0
384606,20,715.1,Residential,7151,1.0,-3.0
384822,3,1008.0,Residential,10080,2.0,-3.0
384824,2,1149.1000000000001,Residential,11491,2.0,-6.0
384825,24,552.9,Residential,5529,1.0,1.0
384827,2,3119.2000000000003,Residential,31192,4.0,-16.0
384846,2,2972.9,Residential,29729,3.0,-28.0
385045,24,1410.2,Residential,14102,2.0,-6.0
385057,24,5949.5,Residential,59495,6.0,-62.0
385065,24,3131.9,Residential,31319,4.0,-2.0
385066,3,3944.5,Residential,39445,4.0,-22.0
385070,3,378.6,Residential,3786,1.0,0.0
385079,20,721.4000000000001,Residential,7214,1.0,1.0
385084,20,966.6,Residential,9666,1.0,-5.0
385242,2,4903.1,Residential,49031,5.0,-9.0
385250,20,250.0,Residential,1426,1.0,0.0
385260,2,491.0,Residential,4910,1.0,1.0
385285,3,1007.2,Residential,10072,2.0,1.0
385286,2,1751.1000000000001,Residential,17511,2.0,0.0
385290,3,705.7,Residential,7057,1.0,-1.0
385291,3,698.1,Residential,6981,1.0,0.0
385292,2,408.8,Residential,4088,1.0,-1.0
385293,3,527.2,Residential,5272,1.0,-3.0
385294,2,305.90000000000003,Residential,3059,1.0,0.0
385295,3,250.0,Residential,2293,1.0,0.0
385310,3,5222.700000000001,Residential,52227,6.0,6.0
385321,20,422.20000000000005,Residential,4222,1.0,0.0
385366,20,624.9000000000001,Residential,6249,1.0,0.0
385369,2,793.2,Residential,7932,1.0,0.0
385440,20,707.4000000000001,Residential,7074,1.0,-1.0
385441,24,711.3000000000001,Residential,7113,1.0,-1.0
385444,3,513.9,Residential,5139,1.0,-1.0
385445,3,870.2,Residential,8702,1.0,-2.0
385446,3,810.3000000000001,Residential,8103,1.0,-1.0
385447,3,706.1,Residential,7061,1.0,-3.0
385448,3,691.3000000000001,Residential,6913,1.0,0.0
385469,24,912.6,Residential,9126,1.0,0.0
385470,20,902.2,Residential,9022,1.0,0.0
385475,20,506.3,Residential,5063,1.0,-1.0
385531,2,1452.3000000000002,Residential,14523,2.0,0.0
385539,20,724.3000000000001,Residential,7243,1.0,0.0
385543,20,699.6,Residential,6996,1.0,-1.0
385544,20,708.6,Residential,7086,1.0,0.0
385557,2,736.2,Residential,7362,1.0,1.0
385605,20,1289.2,Residential,12892,2.0,-6.0
385612,20,1298.8000000000002,Residential,12988,2.0,-5.0
385616,24,7220.400000000001,Residential,72204,8.0,8.0
385618,2,524.4,Residential,5244,1.0,1.0
385626,20,1528.9,Residential,15289,2.0,-6.0
385627,20,1490.4,Residential,14904,2.0,-6.0
385632,2,487.6,Residential,4876,1.0,0.0
385636,20,368.0,Residential,3680,1.0,0.0
386636,20,2018.4,Residential,20184,3.0,3.0
388272,5,97975.28,Office,376828,0.0,0.0
388289,3,16437.309999999998,Residential,40091,17.0,17.0
388307,2,18307.8,Residential,50855,19.0,19.0
388315,24,13550.91,Residential,33051,14.0,13.0
388461,20,21595.32,Residential,59987,22.0,22.0
389017,5,12074.4,Office,50310,0.0,0.0
389035,5,61321.78,Office,235853,0.0,0.0
395518,2,749.1,Residential,7491,1.0,0.0
395520,2,484.3,Residential,4843,1.0,0.0
395522,2,537.3000000000001,Residential,5373,1.0,-2.0
395550,3,574.0,Residential,5740,1.0,-4.0
395554,3,1008.7,Residential,10087,2.0,0.0
